cityjson;geojson;geoobj;geoobj-origin;geooff;geooff-origin;geoply;geoply-origin;geostl;geostl-origin;geovrml;geovrml-origin;gml;kml
1.67615581;7.618025751;1.51404357;1.000488944;1.479980442;0.966425816;1.48079535;0.967240724;7.585429456;4.767371109;7.052480035;4.236812082;11.96631716;12.15581029
1.463037683;6.54624585;1.327697628;1.00002217;1.300639594;0.972964135;1.300681162;0.973008474;6.505933147;4.539714123;6.136149246;4.170049383;10.25297489;10.41526767
0.855428376;2.866190293;1.226822563;1.000024009;0.770092314;0.543293759;0.77013733;0.543341776;2.906996147;1.999021644;2.855857532;1.948009075;4.118444114;4.184759252
1.493827794;6.685921213;1.354513334;1.000058643;1.326034688;0.971579997;1.326144644;0.971697283;6.647033383;4.580773798;6.243802138;4.177857761;10.47716577;10.64308229
0.839121756;3.872335329;1.241916168;1.000638723;0.73756487;0.496287425;0.738762475;0.49756487;4.786586826;3.490858283;3.548582834;2.256367265;6.066826347;6.161596806
1.585204191;7.479224574;1.430023994;1.000190055;1.399068729;0.96923479;1.399425083;0.9696149;7.434751621;4.856603236;6.925094434;4.347991352;11.7177678;11.9030005
1.567594162;7.485650249;1.411523534;1.000437326;1.380473405;0.969387197;1.381293391;0.970261849;7.442191002;4.974307112;6.912972175;4.447438911;11.73153665;11.91658011
1.653176531;7.791537773;1.491013678;1.000204525;1.458673143;0.967863991;1.459056628;0.968247475;7.750607184;4.806059057;7.21799821;4.274549406;12.22006903;12.41360092
1.510213683;6.758121286;1.370367251;1.000023233;1.342427006;0.972085891;1.342470567;0.972129453;6.718492081;4.494127931;6.33619483;4.111955556;10.58917588;10.75691028
1.585238975;7.479535252;1.429970953;1.000211249;1.398996567;0.969236863;1.399392659;0.969659361;7.435437021;4.857222076;6.92556113;4.348481648;11.71946132;11.90470029
1.0648096;4.796659261;0.967093903;1.000016504;0.947555715;0.980478315;0.947586659;0.980511322;4.750034554;4.947460819;4.48273415;4.680249122;7.472959898;7.590135391
1.491354912;6.526343848;1.356311429;1.000008233;1.329304791;0.973002624;1.329320228;0.973018062;6.488011115;4.350172387;6.15091957;4.013125096;10.22597232;10.3879823
1.424392704;6.401632331;1.293414619;1.000021457;1.267226512;0.97383335;1.267266744;0.973876264;6.346112686;4.585718845;5.988399881;4.228121371;9.988973852;10.14604081
1.459837177;6.539920297;1.325182997;1.000024804;1.29822405;0.973065857;1.298265389;0.973109952;6.492704934;4.5470941;6.124619675;4.179127348;10.22683327;10.388259
1.460202673;6.542820853;1.325403137;1.00002209;1.298450961;0.973069914;1.298492379;0.973114093;6.497053788;4.544748178;6.128879501;4.176692622;10.23478297;10.39642699
1.719695086;7.659746236;1.56103652;1.000020942;1.529236222;0.968220644;1.529275488;0.968262528;7.615244667;4.259561947;7.185799287;3.830229131;12.00286642;12.1930321
1.512257658;7.111151095;1.364880872;1.000134947;1.335447498;0.970701573;1.335672409;0.970941478;7.068597904;4.879837464;6.589267239;4.401136551;11.14118423;11.31742462
0.864382989;4.121640186;1.22180743;1.00023892;0.761229244;0.539660733;0.761677219;0.540138574;4.099002509;2.769651177;3.807967985;2.479930713;6.462041572;6.564060447
1.522445738;6.709744635;1.382560034;1.00003275;1.353818191;0.971286813;1.353879596;0.971352312;6.670428774;4.453004364;6.284049321;4.066805034;10.51359926;10.68012265
0.856643357;3.068490333;1.293500617;1.001645413;0.761826409;0.469971205;0.764911559;0.473262032;3.599958865;2.464006582;2.969354175;1.842451666;4.401275195;4.467708762
1.685437661;7.358328394;1.527316736;1.000395179;1.492145821;0.965224264;1.492886781;0.965965224;7.317970757;4.632730686;6.803793717;4.120727129;11.53606007;11.71818811
1.746215249;8.181668043;1.566749243;1.002477291;1.529314616;0.965042664;1.533443435;0.969446738;8.145334434;5.123038811;7.501238646;4.491054225;12.85301404;13.05284889
1.449397802;6.366968672;1.317871835;1.000008617;1.291558455;0.973695237;1.291574613;0.973711395;6.326827519;4.420879432;5.993777125;4.087876434;9.969850778;10.12762334
